페이지,상품명,상품설명,정가,할인가,할인율,배송유형,리뷰수,이미지URL,상품링크
5,[채선당] 소고기 버섯 샤브샤브 밀키트,신선한 채소와 육수의 조화로운 맛,"18,900","16,065",15%,샛별배송,405,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000756142
5,[비비고] 컵떡볶이 3종 (택1),전자레인지에 간편 조리,"3,900","2,600",33%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000756131
5,[소밋공원] 우삼겹 감자사리 볶음면,해운대 암소갈비 서브브랜드 소밋공원,정가 없음,"10,900",할인율 없음,샛별배송,148,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747473
5,[프레시지] 부추가득 재래식 된장찌개,끓일수록 구수한 맛,정가 없음,"8,900",할인율 없음,샛별배송,185,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747469
5,[오뚜기] UNO 사각피자 4종 (택4),간식으로 제격인 1인 피자,정가 없음,"2,380",할인율 없음,샛별배송,811,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747450
5,[리지스] 당밀 앤 피칸 그래놀라 400g,당밀의 달달함을 더한,정가 없음,"14,900",할인율 없음,샛별배송,16,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000759216
5,[프레시지] 최현석의 가니쉬 스테이크,페퍼콘 소스를 촉촉히 얹은,정가 없음,"17,900",할인율 없음,샛별배송,162,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747477
5,[오뚜기] 맛있는 오리지널 핫도그 400g(80gX5개입),국산 돼지고기 소시지가 쏙,"7,980","6,980",12%,샛별배송,277,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747452
5,[오뚜기] 맛있는 치즈 핫도그 400g(80gX5개입),치즈가 콕콕 박힌 소시지,"7,980","6,980",12%,샛별배송,69,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747454
5,[소금집] 잠봉 프로마쥬 샌드위치,"잠봉뵈르와 치즈, 피클의 꿀 조합",정가 없음,"9,200",할인율 없음,샛별배송,758,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747049
5,[성수동 분식] 닭갈비 떡볶이 2종 (춘천식/마라)(택1),든든하게 담은 원팩 닭볶이,"12,990","10,392",20%,샛별배송,999+,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000751025
5,[프레시지] 최현석의 버터 스테이크,그윽한 버터향이 입혀진,정가 없음,"15,900",할인율 없음,샛별배송,131,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000747475
5,[풀무원] 노엣지 토마토&미트콤보,노엣지 토마토&미트콤보 피자,"9,980","8,483",15%,샛별배송,72,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000673945
5,[고트델리] 애플 베이컨 샌드위치,사과 콩포트와 베이컨의 환상 조합,"8,900","8,250",7%,샛별배송,308,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000669152
5,[프레시지] 듬뿍담은 즉석 쫄면 캠핑 떡볶이,용기 그대로 조리하는,정가 없음,"8,900",할인율 없음,샛별배송,109,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000678832
5,[달떡볶이] 베이컨 떡꼬치,말랑하고 짭조름한 별미,"6,900","5,520",20%,샛별배송,371,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",https://www.kurly.com/goods/1000679383
